2017-11-01T11:26:53.781474 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T11:26:54.236801 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T12:41:52.453467 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T14:06:49.549301 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T14:08:42.424340 tid8812 [IFO,App] Error: DisplayManager informed of destruction of display it didn't know existed.
2017-11-01T14:08:42.424340 tid8812 [IFO,App] Error: Got notified of a display being destroyed when we don't know about that display
2017-11-01T14:09:39.529802 tid8812 [IFO,App] Error: DisplayManager informed of destruction of display it didn't know existed.
2017-11-01T14:09:39.529802 tid8812 [IFO,App] Error: Got notified of a display being destroyed when we don't know about that display
2017-11-01T14:10:35.392909 tid8948 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
2017-11-01T15:59:20.985162 tid8812 [IFO,dev:Camera-1] Device adapter requests invalid values ( 0, 0) for property: CircularBufferFrameCount
